x calibration: 0.00463516218587756, y calibration: 0.00456275884062052, z calibration: 0.00884689390659332
x calibration: 0.00217789853923023, y calibration: 0.00697812018916011, z calibration: 0.00777457421645522
x calibration: 0.00329868495464325, y calibration: 0.00641932152211666, z calibration: 0.00803267490118742
x calibration: 0.00525407306849956, y calibration: 0.00613310374319553, z calibration: 0.0093455221503973
x calibration: 0.00537949288263917, y calibration: 0.00985607132315636, z calibration: 0.00767108937725425
x calibration: 0.000634267460554838, y calibration: 0.00782898440957069, z calibration: 0.00979200750589371
x calibration: 0.00304073398001492, y calibration: 0.00596466893330216, z calibration: 0.00767683144658804
x calibration: 0.00567080127075314, y calibration: 0.00778099475428462, z calibration: 0.00750780571252108
x calibration: 0.0000879541039466858, y calibration: 0.00612199539318681, z calibration: 0.00589190796017647
x calibration: 0.00445378571748734, y calibration: 0.00338922161608934, z calibration: 0.00966227985918522
x calibration: 0.00695957522839308, y calibration: 0.0110978949815035, z calibration: 0.0106812138110399
x calibration: 0.00333924824371934, y calibration: 0.00373715767636895, z calibration: 0.00888968072831631
x calibration: 0.00734761636704206, y calibration: 0.00379992555826902, z calibration: 0.00693108048290014
x calibration: 0.00483539374545217, y calibration: 0.00467590568587184, z calibration: 0.00741042010486126
x calibration: 0.0044748317450285, y calibration: 0.00440579606220126, z calibration: 0.00611614063382149
x calibration: 0.00499411439523101, y calibration: 0.00999812595546246, z calibration: 0.00486155832186341
x calibration: 0.00626705819740891, y calibration: 0.00632463721558452, z calibration: 0.00415275851264596
x calibration: 0.00304913194850087, y calibration: 0.00380728812888265, z calibration: 0.0118556516245008
x calibration: 0.00764317624270916, y calibration: 0.00757879111915827, z calibration: 0.00927859917283058
x calibration: 0.00518634682521224, y calibration: 0.00208308594301343, z calibration: 0.0100286500528455
x calibration: 0.00368768000043929, y calibration: 0.00656147673726082, z calibration: 0.0068493876606226
x calibration: 0.00337793305516243, y calibration: 0.00729782273992896, z calibration: 0.0064361896365881
x calibration: 0.00922936853021383, y calibration: 0.00392809510231018, z calibration: 0.00709780491888523
x calibration: 0.00505786668509245, y calibration: 0.00629747333005071, z calibration: 0.00787877198308706
x calibration: 0.00505002960562706, y calibration: 0.00628892285749316, z calibration: 0.0078913252800703
x calibration: 0.00503493752330542, y calibration: 0.0062848636880517, z calibration: 0.00790694355964661
x calibration: 0.00501533783972263, y calibration: 0.0062818001024425, z calibration: 0.00792147126048803
x calibration: 0.0049920454621315, y calibration: 0.00627843290567398, z calibration: 0.00792194623500109
x calibration: 0.00496642477810383, y calibration: 0.00628232397139072, z calibration: 0.00791415572166443
x calibration: 0.00495381513610482, y calibration: 0.00629822444170713, z calibration: 0.00790862273424864
x calibration: 0.0049351928755641, y calibration: 0.00632394338026643, z calibration: 0.00790740363299847
x calibration: 0.00492291012778878, y calibration: 0.00635611079633236, z calibration: 0.00790066178888082
x calibration: 0.00490729929879308, y calibration: 0.00637180358171463, z calibration: 0.00789113063365221
x calibration: 0.00489629758521914, y calibration: 0.00638856086879969, z calibration: 0.00788829475641251
x calibration: 0.00488917576149106, y calibration: 0.00640820432454348, z calibration: 0.00789124332368374
x calibration: 0.00488345045596361, y calibration: 0.00641557341441512, z calibration: 0.00789429433643818
x calibration: 0.00488152075558901, y calibration: 0.00641562975943088, z calibration: 0.00788606889545918
x calibration: 0.00489290058612824, y calibration: 0.00641791569069028, z calibration: 0.00787917897105217
x calibration: 0.00491741811856628, y calibration: 0.00642244517803192, z calibration: 0.00788203720003366
x calibration: 0.00494263600558042, y calibration: 0.00642425147816539, z calibration: 0.00788563303649426
x calibration: 0.00496187619864941, y calibration: 0.00642353529110551, z calibration: 0.0078823259100318
